ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11937456,JC566433,2019-12-31 12:20:00,086XX S MAY ST,0560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,False,True,613,6.0,21.0,71.0,08A,1170161.0,1847605.0,2019,01/07/2020 03:52:21 PM,41.737316454,-87.652162297,"(41.737316454, -87.652162297)"
11937984,JC567023,2019-12-31 21:51:00,011XX S INDEPENDENCE BLVD,2024,NARCOTICS,POSS: HEROIN(WHITE),STREET,True,False,1133,11.0,24.0,29.0,18,1151272.0,1894646.0,2019,01/07/2020 03:52:21 PM,41.866793247,-87.720137344,"(41.866793247, -87.720137344)"
11938847,JD100490,2019-12-31 20:10:00,009XX N MICHIGAN AVE,1305,CRIMINAL DAMAGE,CRIMINAL DEFACEMENT,DEPARTMENT STORE,False,False,1833,18.0,2.0,8.0,14,1177320.0,1906851.0,2019,01/07/2020 03:52:21 PM,41.899734046999995,-87.624142375,"(41.899734047, -87.624142375)"
11937883,JC566907,2019-12-31 20:11:00,033XX E 108TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,STREET,False,False,432,4.0,10.0,52.0,04A,1200107.0,1833947.0,2019,01/07/2020 03:52:21 PM,41.699135002,-87.54291002299999,"(41.699135002, -87.542910023)"
11937956,JC566969,2019-12-31 21:20:00,020XX E 70TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,STREET,False,False,331,3.0,5.0,43.0,15,1190897.0,1858956.0,2019,01/07/2020 03:52:21 PM,41.767989097,-87.57582628600001,"(41.767989097, -87.575826286)"
11937306,JC566203,2019-12-31 08:54:00,105XX S PULASKI RD,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,True,2211,22.0,19.0,74.0,26,1151545.0,1834232.0,2019,01/07/2020 03:52:21 PM,41.70100255,-87.720715305,"(41.70100255, -87.720715305)"
11937368,JC566155,2019-12-31 07:39:00,052XX W MADISON ST,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,False,False,1522,15.0,28.0,25.0,06,1141512.0,1899523.0,2019,01/07/2020 03:52:21 PM,41.880362084,-87.75584743799999,"(41.880362084, -87.755847438)"
11937708,JC566668,2019-12-31 15:00:00,037XX N ASHLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,APARTMENT,False,False,1922,19.0,47.0,6.0,05,1164986.0,1924968.0,2019,01/07/2020 03:52:21 PM,41.949719025,-87.66892938299999,"(41.949719025, -87.668929383)"
11937651,JC566682,2019-12-31 16:08:00,034XX W CORTLAND ST,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,1422,14.0,1.0,22.0,26,1153252.0,1912417.0,2019,01/07/2020 03:52:21 PM,41.915519593,-87.71239636799999,"(41.915519593, -87.712396368)"
11937667,JC566704,2019-12-31 01:36:00,071XX S KEDZIE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,False,831,8.0,18.0,66.0,05,1156272.0,1857102.0,2019,01/07/2020 03:52:21 PM,41.763668151,-87.702793003,"(41.763668151, -87.702793003)"
11937991,JC567000,2019-12-31 22:13:00,011XX S STATE ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,CTA PLATFORM,False,False,123,1.0,4.0,32.0,24,1176517.0,1895340.0,2019,01/07/2020 03:52:21 PM,41.868165405,-87.62743954,"(41.868165405, -87.62743954)"
11939541,JD101514,2019-12-31 11:12:00,069XX S VERNON AVE,0810,THEFT,OVER $500,APARTMENT,False,False,322,3.0,6.0,69.0,06,1180448.0,1859046.0,2019,01/07/2020 03:52:21 PM,41.768482211999995,-87.614123498,"(41.768482212, -87.614123498)"
