ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
11699037,JC277392,2019-05-24 22:30:00,037XX N JANSSEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,1922,19.0,44.0,6.0,08B,1165972.0,1925015.0,2019,06/30/2019 03:56:27 PM,41.949826963,-87.66530363700001,"(41.949826963, -87.665303637)"
11705691,JC285505,2019-05-30 21:00:00,070XX S VERNON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,322,3.0,6.0,69.0,08B,1180462.0,1858526.0,2019,06/30/2019 03:56:27 PM,41.767054957,-87.61408812100001,"(41.767054957, -87.614088121)"
11705786,JC285652,2019-05-30 23:00:00,078XX S SOUTH SHORE DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,421,4.0,7.0,43.0,08B,1197814.0,1854066.0,2019,06/30/2019 03:56:27 PM,41.754400648,-87.550635931,"(41.754400648, -87.550635931)"
11698842,JC277102,2019-05-24 16:15:00,122XX S WALLACE ST,0610,BURGLARY,FORCIBLE ENTRY,RESIDENCE,False,False,523,5.0,34.0,53.0,05,1174522.0,1823699.0,2019,06/30/2019 03:56:27 PM,41.671619054000004,-87.636893184,"(41.671619054, -87.636893184)"
11705860,JC285724,2019-05-30 19:00:00,054XX W HURON ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,False,False,1524,15.0,37.0,25.0,14,1139680.0,1904097.0,2019,06/30/2019 03:56:27 PM,41.892947348,-87.762462717,"(41.892947348, -87.762462717)"
11705992,JC285876,2019-05-30 19:00:00,019XX W HOWARD ST,0560,ASSAULT,SIMPLE,RESTAURANT,True,False,2424,24.0,49.0,1.0,08A,1161853.0,1950352.0,2019,11/12/2019 03:55:53 PM,42.019439727,-87.67973383200001,"(42.019439727, -87.679733832)"
11705566,JC285448,2019-05-24 18:00:00,0000X W SCHILLER ST,1210,DECEPTIVE PRACTICE,THEFT OF LABOR/SERVICES,RESIDENCE,False,False,1824,18.0,2.0,8.0,11,1175350.0,1909789.0,2019,06/30/2019 03:56:27 PM,41.90784052,-87.63128980100001,"(41.90784052, -87.631289801)"
11706747,JC286799,2019-05-31 18:13:00,029XX W SHERWIN AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,True,False,2411,24.0,50.0,2.0,18,1155567.0,1948585.0,2019,06/30/2019 03:56:27 PM,42.014720407,-87.702913548,"(42.014720407, -87.702913548)"
11706859,JC287061,2019-05-31 23:19:00,007XX W 92ND ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,True,2223,22.0,21.0,73.0,14,1172794.0,1843848.0,2019,06/30/2019 03:56:27 PM,41.726949139,-87.64262621200001,"(41.726949139, -87.642626212)"
11706916,JC286986,2019-05-31 19:30:00,008XX W ERIE ST,0820,THEFT,$500 AND UNDER,STREET,False,False,1214,12.0,27.0,24.0,06,1170704.0,1904475.0,2019,06/30/2019 03:56:27 PM,41.893361663,-87.648512433,"(41.893361663, -87.648512433)"
11707112,JC285771,2019-05-30 08:00:00,073XX S DANTE AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE-GARAGE,False,False,324,3.0,8.0,43.0,05,1187140.0,1856687.0,2019,06/30/2019 03:56:27 PM,41.761852731,-87.58966911799999,"(41.761852731, -87.589669118)"
11707297,JC287596,2019-05-31 23:00:00,050XX W ROSCOE ST,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,False,False,1634,16.0,31.0,15.0,26,1142199.0,1922136.0,2019,06/30/2019 03:56:27 PM,41.942401926,-87.752762775,"(41.942401926, -87.752762775)"
11707348,JC287523,2019-06-01 06:00:00,121XX S LAFAYETTE AVE,0820,THEFT,$500 AND UNDER,RESIDENCE,False,False,523,5.0,9.0,53.0,06,1178111.0,1824490.0,2019,06/30/2019 03:56:27 PM,41.673709333000005,-87.62373372299999,"(41.673709333, -87.623733723)"
11697860,JC276181,2019-05-24 03:48:00,027XX W 25TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,OTHER,True,False,1034,10.0,24.0,30.0,15,1158200.0,1887285.0,2019,06/30/2019 03:56:27 PM,41.846455266999996,-87.69490466399999,"(41.846455267, -87.694904664)"
11707704,JC288195,2019-06-01 16:00:00,019XX N LINCOLN AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,RESTAURANT,False,False,1814,18.0,43.0,7.0,11,1173771.0,1913124.0,2019,06/30/2019 03:56:27 PM,41.917027233,-87.63699069,"(41.917027233, -87.63699069)"
11699279,JC277766,2019-05-24 16:23:00,060XX S DR MARTIN LUTHER KING JR DR,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,True,False,313,3.0,20.0,42.0,08A,1179955.0,1865090.0,2019,06/30/2019 03:56:27 PM,41.785078849,-87.615745705,"(41.785078849, -87.615745705)"
11707801,JC286385,2019-05-17 12:00:00,014XX W LUNT AVE,2825,OTHER OFFENSE,HARASSMENT BY TELEPHONE,RESIDENCE,False,False,2423,24.0,49.0,1.0,26,1165410.0,1946614.0,2019,06/30/2019 03:56:27 PM,42.009107317,-87.666751626,"(42.009107317, -87.666751626)"
11698925,JC277441,2019-05-24 23:29:00,026XX S ST LOUIS AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSS OF HANDGUN,SIDEWALK,True,False,1032,10.0,22.0,30.0,15,1153460.0,1886245.0,2019,06/30/2019 03:56:27 PM,41.843696759000004,-87.71232794,"(41.843696759, -87.71232794)"
11707948,JC285540,2019-05-30 18:30:00,023XX W JACKSON BLVD,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,RESIDENTIAL YARD (FRONT/BACK),False,False,1225,12.0,27.0,28.0,04B,1160842.0,1898642.0,2019,06/30/2019 03:56:27 PM,41.877565688000004,-87.68489382899999,"(41.877565688, -87.684893829)"
11700896,JC279682,2019-05-24 15:00:00,005XX W ROOSEVELT RD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APPLIANCE STORE,False,False,124,1.0,11.0,28.0,11,1172744.0,1894970.0,2019,06/30/2019 03:56:27 PM,41.867234401,-87.641301791,"(41.867234401, -87.641301791)"
11707969,JC288508,2019-06-01 21:00:00,017XX N SPAULDING AVE,0820,THEFT,$500 AND UNDER,STREET,False,False,1422,14.0,26.0,22.0,06,1153860.0,1911741.0,2019,06/30/2019 03:56:27 PM,41.913652489,-87.71018066399999,"(41.913652489, -87.710180664)"
11708013,JC288420,2019-06-01 22:00:00,003XX N CANAL ST,0560,ASSAULT,SIMPLE,STREET,False,False,1214,12.0,42.0,28.0,08A,1173064.0,1902174.0,2019,06/30/2019 03:56:27 PM,41.886995567,-87.639913366,"(41.886995567, -87.639913366)"
11698308,JC276608,2019-05-24 02:00:00,072XX S TALMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,False,True,831,8.0,18.0,66.0,08B,1159963.0,1856441.0,2019,06/30/2019 03:56:27 PM,41.761779227,-87.68928273200001,"(41.761779227, -87.689282732)"
11708150,JC288695,2019-06-02 07:40:00,103XX S FOREST AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,False,False,512,5.0,9.0,49.0,14,1180072.0,1836505.0,2019,06/30/2019 03:56:27 PM,41.706635655,-87.61619020200001,"(41.706635655, -87.616190202)"
11708324,JC288913,2019-06-01 18:37:00,0000X N STATE ST,0860,THEFT,RETAIL THEFT,DEPARTMENT STORE,False,False,112,1.0,42.0,32.0,06,1176364.0,1900524.0,2019,06/30/2019 03:56:27 PM,41.882394061999996,-87.627844798,"(41.882394062, -87.627844798)"
11708330,JC288866,2019-06-02 04:45:00,075XX W IRVING PARK RD,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,False,False,1631,16.0,38.0,17.0,11,1124872.0,1925723.0,2019,06/30/2019 03:56:27 PM,41.952549459000004,-87.816369168,"(41.952549459, -87.816369168)"
11708336,JC288826,2019-06-01 23:00:00,024XX N CENTRAL AVE,1570,SEX OFFENSE,PUBLIC INDECENCY,NURSING HOME/RETIREMENT HOME,False,False,2515,25.0,30.0,19.0,17,1138633.0,1915735.0,2019,06/30/2019 03:56:27 PM,41.924902435999996,-87.76602531299999,"(41.924902436, -87.766025313)"
11708341,JC288785,2019-06-02 09:59:00,007XX W DIVERSEY PKWY,0454,BATTERY,AGG PO HANDS NO/MIN INJURY,APARTMENT,True,False,1934,19.0,44.0,6.0,08B,1170960.0,1918833.0,2019,06/30/2019 03:56:27 PM,41.932755165,-87.64715036700001,"(41.932755165, -87.647150367)"
11708325,JC288857,2019-06-01 03:30:00,081XX S COLES AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,422,4.0,7.0,46.0,08B,1198232.0,1851690.0,2019,06/30/2019 03:56:27 PM,41.747870291999995,-87.549183485,"(41.747870292, -87.549183485)"
